Name,Market Share,Units Sold,Last Revision Date,Stock Out,Pfmn,Size,Position Difference,Price,Price Difference,MTBF,MTBF Difference,Age,Age Difference,Promo Budget,Customer Awareness,Sales Budget,Customer Accessibility,Segment,Round,Position Out of Range,Price Out of Range,MTBF Out of Range,Age Out of Range,CSS
Fast,0.16,425,8/5/2022,0,5.7,14.3,3.394112549695428,34.5,9.5,18300,4700,2.25,2.25,1900.0,0.8,2300.0,0.53,1,1,0,0,0,1,10.0
Eat,0.16,414,11/9/2022,1,5.3,14.7,3.9597979746446654,34.0,9.0,20000,3000,2.12,2.12,2500.0,0.86,2500.0,0.55,1,1,0,0,0,1,12.0
Daze,0.13,338,11/21/2018,0,6.4,13.6,2.4041630560342604,34.0,9.0,21000,2000,4.1,4.1,1000.0,0.58,1000.0,0.35,1,1,0,0,0,1,9.0
Eat,0.21,1253,11/9/2022,0,5.3,14.7,0.7071067811865476,33.5,18.5,20000,0,3.12,0.1200000000000001,1900.0,1.0,3000.0,0.68,0,2,0,0,0,0,37.0
Fast,0.19,1128,1/6/2023,0,5.7,14.3,0.14142135623731025,34.0,19.0,18700,1300,3.25,0.25,1800.0,0.96,3000.0,0.67,0,2,0,0,0,0,33.0
Able,0.17,1053,7/26/2022,0,5.8,14.2,0.0,31.99,16.99,17000,3000,3.26,0.2599999999999998,2000.0,1.0,3000.0,0.68,0,2,0,0,0,0,31.0
Cake,0.16,945,7/12/2022,0,5.8,14.2,0.0,32.5,17.5,18000,2000,3.28,0.2799999999999998,1800.0,0.97,1500.0,0.52,0,2,0,0,0,0,28.0
Baker,0.15,932,3/3/2023,0,6.2,14.0,0.4472135954999579,34.89,19.89,20000,0,2.11,0.8900000000000001,2000.0,1.0,3000.0,0.73,0,2,0,0,0,0,32.0
Daze,0.13,788,6/20/2023,0,6.0,14.0,0.2828427124746186,32.0,17.0,16000,4000,2.81,0.18999999999999995,2000.0,0.84,3000.0,0.55,0,2,0,0,0,0,24.0
Baker,0.14,427,3/3/2023,0,6.2,14.0,3.820994634908561,34.89,9.89,20000,3000,2.11,2.11,2000.0,1.0,3000.0,0.75,1,2,0,0,0,1,15.0
